,f,p,r
count,238.0,238.0,238.0
mean,0.05,0.082,0.043
std,0.092,0.158,0.078
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.077,0.1,0.067
max,0.6,1.0,0.5
