,count,mean,std,min,25%,50%,75%,max
utility_textrank,30.0,3.5,0.8610338613230188,2.0,3.0,4.0,4.0,5.0
utility_lexrank,30.0,2.966666666666667,0.9643054793328018,1.0,2.0,3.0,4.0,5.0
utility_opinosis,30.0,2.8,1.2972118642263704,1.0,2.0,3.0,3.75,5.0
utility_human_1,30.0,4.433333333333334,0.678910553924363,3.0,4.0,5.0,5.0,5.0
utility_human_2,30.0,3.3666666666666667,1.0661996103898193,1.0,3.0,4.0,4.0,5.0
utility_human_3,30.0,3.3666666666666667,0.8502873077655141,1.0,3.0,3.0,4.0,5.0
utility_human_4,30.0,3.8333333333333335,0.7466399831028447,2.0,3.0,4.0,4.0,5.0
utility_wordcloud,30.0,3.2666666666666666,1.2015315896469556,1.0,2.0,3.0,4.0,5.0
utility_sentiment,30.0,3.6666666666666665,1.1547005383792515,1.0,3.0,4.0,4.0,5.0
