,f,p,r
count,443.0,443.0,443.0
mean,0.224,0.263,0.263
std,0.187,0.204,0.204
min,0.0,0.0,0.0
25%,0.122,0.143,0.143
50%,0.186,0.208,0.217
75%,0.268,0.316,0.333
max,1.0,1.0,1.0
