,count,mean,std,min,25%,50%,75%,max
readability_textrank,30.0,4.2,0.925,2.0,4.0,4.0,5.0,5.0
readability_lexrank,30.0,3.667,1.093,1.0,3.0,4.0,4.0,5.0
readability_opinosis,30.0,3.833,1.234,1.0,4.0,4.0,5.0,5.0
readability_human_1,30.0,4.333,0.922,1.0,4.0,5.0,5.0,5.0
readability_human_2,30.0,3.7,0.988,2.0,3.0,4.0,4.0,5.0
readability_human_3,30.0,3.9,0.885,2.0,3.0,4.0,4.75,5.0
readability_human_4,30.0,3.9,1.296,1.0,3.0,4.0,5.0,5.0
