,f,p,r
count,238.0,238.0,238.0
mean,0.03224988427119801,0.020325766989644226,0.0991581348114901
std,0.035060201306045376,0.02265173524978415,0.11842375317589307
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.024243312002151532,0.015151515151515152,0.07692307692307693
75%,0.04481897384126527,0.029411764705882353,0.14285714285714285
max,0.24691357722908097,0.15151515151515152,0.8333333333333334
