,f,p,r
count,443.0,443.0,443.0
mean,0.255,0.275,0.275
std,0.187,0.206,0.204
min,0.0,0.0,0.0
25%,0.148,0.154,0.143
50%,0.222,0.222,0.235
75%,0.303,0.333,0.333
max,1.0,1.0,1.0
