,f,p,r
count,238.0,238.0,238.0
mean,0.105,0.099,0.367
std,0.056,0.05,0.152
min,0.011,0.011,0.091
25%,0.065,0.063,0.252
50%,0.094,0.087,0.333
75%,0.137,0.127,0.444
max,0.315,0.282,1.0
