,count,mean,std,min,25%,50%,75%,max
readability_textrank,30.0,4.2,0.924755326447544,2.0,4.0,4.0,5.0,5.0
readability_lexrank,30.0,3.6666666666666665,1.093344547181068,1.0,3.0,4.0,4.0,5.0
readability_opinosis,30.0,3.8333333333333335,1.2340942045675147,1.0,4.0,4.0,5.0,5.0
readability_human_1,30.0,4.333333333333333,0.9222660747548284,1.0,4.0,5.0,5.0,5.0
readability_human_2,30.0,3.7,0.9878573120474016,2.0,3.0,4.0,4.0,5.0
readability_human_3,30.0,3.9,0.8847364696279086,2.0,3.0,4.0,4.75,5.0
readability_human_4,30.0,3.9,1.295882072114429,1.0,3.0,4.0,5.0,5.0
