,f,p,r
count,238.0,238.0,238.0
mean,0.226,0.255,0.243
std,0.12,0.161,0.137
min,0.0,0.0,0.0
25%,0.14,0.136,0.143
50%,0.215,0.222,0.231
75%,0.3,0.346,0.308
max,0.714,0.8,0.778
