,f,p,r
count,238.0,238.0,238.0
mean,0.035,0.042,0.037
std,0.064,0.084,0.068
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.054,0.057,0.056
max,0.378,0.5,0.467
