,f,p,r
count,238.0,238.0,238.0
mean,0.165,0.211,0.203
std,0.101,0.144,0.12
min,0.0,0.0,0.0
25%,0.093,0.105,0.121
50%,0.135,0.176,0.188
75%,0.223,0.286,0.25
max,0.651,0.8,0.75
