,f,p,r
interior toyota camry 2007,0.26666666380088894,0.16129032258064516,0.7692307692307693
interior toyota camry 2007,0.16867469501524177,0.11290322580645161,0.3333333333333333
interior toyota camry 2007,0.19444444205246914,0.11290322580645161,0.7
interior toyota camry 2007,0.19444444205246914,0.11290322580645161,0.7
interior toyota camry 2007,0.17948717622616703,0.11290322580645161,0.4375
keyboard netbook 1005ha,0.20588235003460212,0.125,0.5833333333333334
keyboard netbook 1005ha,0.21052631191135737,0.14285714285714285,0.4
keyboard netbook 1005ha,0.15151514894398535,0.08928571428571429,0.5
keyboard netbook 1005ha,0.2823529366809689,0.21428571428571427,0.41379310344827586
keyboard netbook 1005ha,0.2823529366809689,0.21428571428571427,0.41379310344827586
location bestwestern hotel sfo,0.14285713795918387,0.125,0.16666666666666666
location bestwestern hotel sfo,0.19230768875739648,0.125,0.4166666666666667
location bestwestern hotel sfo,0.20289854585171196,0.175,0.2413793103448276
location bestwestern hotel sfo,0.04166666388888908,0.025,0.125
location bestwestern hotel sfo,0.23333332888888897,0.175,0.35
location holiday inn london,0.17283950382563637,0.1,0.6363636363636364
location holiday inn london,0.14634146091612138,0.08571428571428572,0.5
location holiday inn london,0.22222221876543213,0.14285714285714285,0.5
location holiday inn london,0.07894736696675902,0.04285714285714286,0.5
mileage honda accord 2008,0.059701488607707985,0.04081632653061224,0.1111111111111111
mileage honda accord 2008,0.12903225475026023,0.08163265306122448,0.3076923076923077
mileage honda accord 2008,0.1724137904815696,0.10204081632653061,0.5555555555555556
mileage honda accord 2008,0.1034482732401903,0.061224489795918366,0.3333333333333333
mileage honda accord 2008,0.3291139193398494,0.2653061224489796,0.43333333333333335
navigation amazon kindle,0.30508474232691757,0.1956521739130435,0.6923076923076923
navigation amazon kindle,0.15873015478961966,0.10869565217391304,0.29411764705882354
navigation amazon kindle,0.1509433939337843,0.08695652173913043,0.5714285714285714
navigation amazon kindle,0.1290322542351718,0.08695652173913043,0.25
parking bestwestern hotel sfo,0.06779660782533764,0.0392156862745098,0.25
parking bestwestern hotel sfo,0.20779220331927822,0.1568627450980392,0.3076923076923077
parking bestwestern hotel sfo,0.09677419062955263,0.058823529411764705,0.2727272727272727
parking bestwestern hotel sfo,0.2199999950020001,0.21568627450980393,0.22448979591836735
performance honda accord 2008,0.09090908680899926,0.06382978723404255,0.15789473684210525
performance honda accord 2008,0.11320754516197937,0.06382978723404255,0.5
performance honda accord 2008,0.13559321709853497,0.0851063829787234,0.3333333333333333
performance honda accord 2008,0.10344827278834728,0.06382978723404255,0.2727272727272727
performance netbook 1005ha,0.24096385176368126,0.15873015873015872,0.5
performance netbook 1005ha,0.1249999966531251,0.07936507936507936,0.29411764705882354
performance netbook 1005ha,0.16438355927941453,0.09523809523809523,0.6
performance netbook 1005ha,0.19753086074074078,0.12698412698412698,0.4444444444444444
performance netbook 1005ha,0.17499999665312507,0.1111111111111111,0.4117647058823529
price amazon kindle,0.23999999608888894,0.16363636363636364,0.45
price amazon kindle,0.29629629193720475,0.21818181818181817,0.46153846153846156
price amazon kindle,0.06153845893491135,0.03636363636363636,0.2
price amazon kindle,0.13888888528163593,0.09090909090909091,0.29411764705882354
price amazon kindle,0.12121211843434349,0.07272727272727272,0.36363636363636365
price holiday inn london,0.1621621576880936,0.12244897959183673,0.24
price holiday inn london,0.1621621576880936,0.12244897959183673,0.24
price holiday inn london,0.033333330338889154,0.02040816326530612,0.09090909090909091
price holiday inn london,0.1764705842084776,0.12244897959183673,0.3157894736842105
price holiday inn london,0.10526315548168672,0.061224489795918366,0.375
quality toyota camry 2007,0.09230768970414208,0.05454545454545454,0.3
quality toyota camry 2007,0.11764705573096892,0.07272727272727272,0.3076923076923077
quality toyota camry 2007,0.11764705573096892,0.07272727272727272,0.3076923076923077
quality toyota camry 2007,0.1016949139902327,0.05454545454545454,0.75
rooms bestwestern hotel sfo,0.08163265091212,0.046511627906976744,0.3333333333333333
rooms bestwestern hotel sfo,0.16666666480034723,0.09302325581395349,0.8
rooms bestwestern hotel sfo,0.2264150912780349,0.13953488372093023,0.6
rooms bestwestern hotel sfo,0.17543859278547255,0.11627906976744186,0.35714285714285715
rooms bestwestern hotel sfo,0.2187499955908204,0.16279069767441862,0.3333333333333333
rooms swissotel chicago,0.16949152180407936,0.1111111111111111,0.35714285714285715
rooms swissotel chicago,0.23076922843934913,0.13333333333333333,0.8571428571428571
rooms swissotel chicago,0.2068965482461356,0.13333333333333333,0.46153846153846156
rooms swissotel chicago,0.24137930686682524,0.15555555555555556,0.5384615384615384
room holiday inn london,0.09090908829586783,0.053763440860215055,0.29411764705882354
room holiday inn london,0.05607476408070583,0.03225806451612903,0.21428571428571427
room holiday inn london,0.019607841528258493,0.010752688172043012,0.1111111111111111
room holiday inn london,0.11864406445705268,0.07526881720430108,0.28
satellite garmin nuvi 255W gps,0.10256409978632487,0.06153846153846154,0.3076923076923077
satellite garmin nuvi 255W gps,0.05633802662170209,0.03076923076923077,0.3333333333333333
satellite garmin nuvi 255W gps,0.05714285581632657,0.03076923076923077,0.4
satellite garmin nuvi 255W gps,0.07792207529094292,0.046153846153846156,0.25
