,f,p,r
count,443.0,443.0,443.0
mean,0.088,0.092,0.095
std,0.199,0.202,0.212
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.087,0.1,0.091
max,1.0,1.0,1.0
