,f,p,r
count,238.0,238.0,238.0
mean,0.234,0.328,0.212
std,0.136,0.218,0.133
min,0.0,0.0,0.0
25%,0.14,0.163,0.12
50%,0.23,0.286,0.2
75%,0.308,0.461,0.286
max,0.833,1.0,0.714
