,f,p,r
count,238.0,238.0,238.0
mean,0.032,0.02,0.099
std,0.035,0.023,0.118
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.024,0.015,0.077
75%,0.045,0.029,0.143
max,0.247,0.152,0.833
