,f,p,r
count,238.0,238.0,238.0
mean,0.184,0.303,0.193
std,0.118,0.212,0.125
min,0.0,0.0,0.0
25%,0.101,0.143,0.115
50%,0.167,0.279,0.175
75%,0.236,0.4,0.248
max,0.791,1.0,0.714
